cohort_key,cohort_label,cohort,window,endpoint_family,endpoint_label,experiment,model,n_rows,n_subjects,n_pos,n_neg,n_features_used,numeric_features_used,categorical_features_used,roc_auc_mean,roc_auc_std,ap_mean,ap_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,reference_combined,logreg_balanced,547,547,84,463,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.85958151142645,0.041278909125176094,0.5644018406859685,0.09821760586712648,0.8063775334818359,0.055645859202567365,0.5871485104043244,0.06117468759814102
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,reference_combined,random_forest_balanced,547,547,84,463,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.8560645436295135,0.0390839910990554,0.5131003772094747,0.08732210279030958,0.7959481478425873,0.06211325016882321,0.5832488027856174,0.06305375844410362
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,reference_combined,extra_trees_balanced,547,547,84,463,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.8343872892775623,0.03743053655762931,0.5220040124854615,0.09975748520910838,0.7732856887495532,0.055722253465975737,0.5300119179454728,0.05215853760246101
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,demo_only,logreg_balanced,547,547,84,463,5,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h,sex_h,0.7409018095316668,0.05477451272850258,0.38105466975641855,0.12107441947249552,0.6885862690097077,0.04991755981640101,0.40361655969315746,0.04049495393562417
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,demo_only,extra_trees_balanced,547,547,84,463,5,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h,sex_h,0.7309820421857383,0.02920990462817697,0.334245055566048,0.03361060123724558,0.7063316420537359,0.05537536306716021,0.4258719058719058,0.05222380215083822
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,demo_only,random_forest_balanced,547,547,84,463,5,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h,sex_h,0.7126536589390314,0.025780067086055583,0.30427070029533587,0.05073578486868984,0.6160071707504882,0.039811671147409106,0.3385771122148912,0.04877098634938666
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,severity_only,logreg_balanced,547,547,84,463,2,cdr_sumboxes_h|faq_total_h,,0.854534657481506,0.04510769774720489,0.5243231903050902,0.09177410378828202,0.786702314165498,0.03761562803196123,0.5583877642825011,0.0374689935966037
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,severity_only,extra_trees_balanced,547,547,84,463,2,cdr_sumboxes_h|faq_total_h,,0.8516744355526221,0.05030894824631187,0.5091362836415205,0.07725919632546482,0.7846853257432005,0.04537338168359512,0.5112937524924206,0.047092355200353514
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,severity_only,random_forest_balanced,547,547,84,463,2,cdr_sumboxes_h|faq_total_h,,0.8451128207243626,0.05112159709264903,0.47268592822509853,0.10823206552780003,0.7922472705772352,0.05663984841307082,0.5233182097222053,0.053496089402013884
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,minus_all_cdr,logreg_balanced,547,547,84,463,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|faq_total_h,sex_h,0.7633212331215796,0.0426748303556368,0.4210855998438715,0.09170697420159711,0.7068610263179606,0.03995141503547976,0.4220797804251218,0.02908510659158984
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,minus_all_cdr,extra_trees_balanced,547,547,84,463,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|faq_total_h,sex_h,0.7407268377196601,0.039394910795553226,0.36129126403884265,0.05878073991590826,0.7175270879740394,0.033208339555005066,0.43157105647671684,0.02147789075971924
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,minus_all_cdr,random_forest_balanced,547,547,84,463,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|faq_total_h,sex_h,0.7326128207243627,0.022763414347862138,0.3358225616910387,0.05051162556123085,0.662524406677117,0.06062356984454098,0.38728251734462915,0.06361468474265727
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,minus_faq,random_forest_balanced,547,547,84,463,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h,sex_h,0.8580762038335671,0.03779096847924552,0.5175923469311303,0.07350684175730376,0.818402290790089,0.05716324557220527,0.6083273497945756,0.05903126936542933
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,minus_faq,logreg_balanced,547,547,84,463,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h,sex_h,0.8580490471083244,0.0421685457754251,0.5592108423953366,0.10224595149522644,0.8037326746968072,0.05579352859959387,0.5897927959433467,0.06486568687273218
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,minus_faq,extra_trees_balanced,547,547,84,463,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h,sex_h,0.8417842312240463,0.0366893740097155,0.5223019474289168,0.09863727405704979,0.7791446662816599,0.050222315102663145,0.536429662478443,0.043133958664934836
