cohort_key,cohort_label,cohort,window,endpoint_family,endpoint_label,experiment,model,n_rows,n_subjects,n_pos,n_neg,n_features_used,numeric_features_used,categorical_features_used,roc_auc_mean,roc_auc_std,ap_mean,ap_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,demo_only,logreg_balanced,547,547,84,463,5,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h,sex_h,0.7409018095316668,0.05477451272850258,0.38105466975641855,0.12107441947249552,0.6885862690097077,0.04991755981640101,0.40361655969315746,0.04049495393562417
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,minus_all_cdr,logreg_balanced,547,547,84,463,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|faq_total_h,sex_h,0.7633212331215796,0.0426748303556368,0.4210855998438715,0.09170697420159711,0.7068610263179606,0.03995141503547976,0.4220797804251218,0.02908510659158984
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,minus_faq,random_forest_balanced,547,547,84,463,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h,sex_h,0.8580762038335671,0.03779096847924552,0.5175923469311303,0.07350684175730376,0.818402290790089,0.05716324557220527,0.6083273497945756,0.05903126936542933
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,reference_combined,logreg_balanced,547,547,84,463,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.85958151142645,0.041278909125176094,0.5644018406859685,0.09821760586712648,0.8063775334818359,0.055645859202567365,0.5871485104043244,0.06117468759814102
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,severity_only,logreg_balanced,547,547,84,463,2,cdr_sumboxes_h|faq_total_h,,0.854534657481506,0.04510769774720489,0.5243231903050902,0.09177410378828202,0.786702314165498,0.03761562803196123,0.5583877642825011,0.0374689935966037
adni_tau90,ADNI tau90,ADNI,90d,tau_binary,tau positivity,demo_only,logreg_balanced,438,438,78,360,5,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h,sex_h,0.7429513888888889,0.05185744999128636,0.4115044657494947,0.05460501249625108,0.6740277777777777,0.07111545125644221,0.4246732026143791,0.08108329828145294
adni_tau90,ADNI tau90,ADNI,90d,tau_binary,tau positivity,minus_all_cdr,logreg_balanced,438,438,78,360,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|faq_total_h,sex_h,0.7576273148148147,0.06665410078011627,0.45814892770980276,0.08993444030920993,0.6879166666666666,0.0803248612406728,0.4386320220850225,0.08820754493129358
adni_tau90,ADNI tau90,ADNI,90d,tau_binary,tau positivity,minus_faq,random_forest_balanced,438,438,78,360,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h,sex_h,0.8509027777777778,0.05602907049761283,0.5475950223056539,0.052492186846441725,0.7797222222222222,0.05973740117184068,0.5859044803317249,0.07332059943646363
adni_tau90,ADNI tau90,ADNI,90d,tau_binary,tau positivity,reference_combined,logreg_balanced,438,438,78,360,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.8512152777777777,0.06280293525201558,0.6004447118495222,0.08503757813499857,0.7948611111111111,0.06699801913415973,0.5900149979219746,0.07740833413867998
adni_tau90,ADNI tau90,ADNI,90d,tau_binary,tau positivity,severity_only,logreg_balanced,438,438,78,360,2,cdr_sumboxes_h|faq_total_h,,0.8378240740740741,0.05427028720904816,0.5312591762188762,0.06982535651963816,0.7579166666666668,0.04654871005094994,0.5522222222222222,0.05964199906446924
