cohort_key,cohort_label,cohort,window,endpoint_family,endpoint_label,experiment,model,n_rows,n_subjects,n_pos,n_neg,n_features_used,numeric_features_used,categorical_features_used,roc_auc_mean,roc_auc_std,ap_mean,ap_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
oasis3_tau90,OASIS3 tau90,OASIS3,90d,tau_binary,tau positivity (derived),reference_combined,logreg_balanced,142,142,12,130,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.9358974358974359,0.06319875663521152,0.8285714285714285,0.09571310115353228,0.8871794871794872,0.09187934803676374,0.6076190476190476,0.11399168525989088
oasis3_tau90,OASIS3 tau90,OASIS3,90d,tau_binary,tau positivity (derived),reference_combined,extra_trees_balanced,142,142,12,130,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.876923076923077,0.0945072691999083,0.642136752136752,0.16687858541159523,0.8564102564102564,0.08519614218377515,0.49111111111111105,0.09333333333333332
oasis3_tau90,OASIS3 tau90,OASIS3,90d,tau_binary,tau positivity (derived),reference_combined,random_forest_balanced,142,142,12,130,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.8487179487179487,0.10034457399666413,0.6146031746031746,0.13290615621288748,0.7564102564102564,0.043852900965351466,0.5476190476190477,0.12417528390862187
oasis3_tau90,OASIS3 tau90,OASIS3,90d,tau_binary,tau positivity (derived),demo_only,logreg_balanced,142,142,12,130,5,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h,sex_h,0.7307692307692307,0.06371678789635475,0.4507411067193677,0.1725338007800868,0.6448717948717949,0.0372898450570487,0.2715032679738562,0.06507828400668353
oasis3_tau90,OASIS3 tau90,OASIS3,90d,tau_binary,tau positivity (derived),demo_only,random_forest_balanced,142,142,12,130,5,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h,sex_h,0.6692307692307693,0.06644440266589711,0.3670986827518662,0.1495251359883812,0.6576923076923078,0.11634924414911206,0.35,0.2
oasis3_tau90,OASIS3 tau90,OASIS3,90d,tau_binary,tau positivity (derived),demo_only,extra_trees_balanced,142,142,12,130,5,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h,sex_h,0.6576923076923077,0.048919959047022864,0.3428965711379899,0.11597114096341192,0.6307692307692307,0.04066346545424026,0.24158730158730157,0.028959446367077334
oasis3_tau90,OASIS3 tau90,OASIS3,90d,tau_binary,tau positivity (derived),severity_only,logreg_balanced,142,142,12,130,2,cdr_sumboxes_h|faq_total_h,,0.8532051282051283,0.08053486551045849,0.6783562138344748,0.17128815251741394,0.8217948717948719,0.08821034570138242,0.6866666666666668,0.1107549848389077
oasis3_tau90,OASIS3 tau90,OASIS3,90d,tau_binary,tau positivity (derived),severity_only,random_forest_balanced,142,142,12,130,2,cdr_sumboxes_h|faq_total_h,,0.8314102564102563,0.07979675035689969,0.5929940429940428,0.0600993121492337,0.8217948717948719,0.08821034570138242,0.6866666666666668,0.1107549848389077
oasis3_tau90,OASIS3 tau90,OASIS3,90d,tau_binary,tau positivity (derived),severity_only,extra_trees_balanced,142,142,12,130,2,cdr_sumboxes_h|faq_total_h,,0.798076923076923,0.10328273877498885,0.5904965404965404,0.0614520276531591,0.8179487179487179,0.09241446815866719,0.6666666666666666,0.14605934866804432
oasis3_tau90,OASIS3 tau90,OASIS3,90d,tau_binary,tau positivity (derived),minus_all_cdr,logreg_balanced,142,142,12,130,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|faq_total_h,sex_h,0.8461538461538461,0.04514568426066411,0.4863095238095238,0.2043552162822586,0.767948717948718,0.10073692964391384,0.3616161616161616,0.06025487477109414
