cohort_key,cohort_label,threshold,gmm_midpoint,is_gmm_threshold,pct_from_gmm,n_total,n_pos,n_neg,auc,reliable
oasis3_tau180,OASIS3 tau180,0.91858,1.31226,False,-30.0,362,358,4,,False
oasis3_tau180,OASIS3 tau180,0.95795,1.31226,False,-27.0,362,349,13,0.6035,True
oasis3_tau180,OASIS3 tau180,0.99732,1.31226,False,-24.0,362,331,31,0.513,True
oasis3_tau180,OASIS3 tau180,1.03669,1.31226,False,-21.0,362,292,70,0.5947,True
oasis3_tau180,OASIS3 tau180,1.07606,1.31226,False,-18.0,362,235,127,0.5757,True
oasis3_tau180,OASIS3 tau180,1.11542,1.31226,False,-15.0,362,151,211,0.6123,True
oasis3_tau180,OASIS3 tau180,1.15479,1.31226,False,-12.0,362,87,275,0.619,True
oasis3_tau180,OASIS3 tau180,1.19416,1.31226,False,-9.0,362,42,320,0.6384,True
oasis3_tau180,OASIS3 tau180,1.23353,1.31226,False,-6.0,362,25,337,0.7336,True
oasis3_tau180,OASIS3 tau180,1.27289,1.31226,False,-3.0,362,17,345,0.7891,True
oasis3_tau180,OASIS3 tau180,1.31226,1.31226,True,0.0,362,15,347,0.7095,True
oasis3_tau180,OASIS3 tau180,1.35163,1.31226,False,3.0,362,13,349,0.7045,True
oasis3_tau180,OASIS3 tau180,1.391,1.31226,False,6.0,362,10,352,0.7606,True
oasis3_tau180,OASIS3 tau180,1.43037,1.31226,False,9.0,362,9,353,,False
oasis3_tau180,OASIS3 tau180,1.46973,1.31226,False,12.0,362,8,354,,False
oasis3_tau180,OASIS3 tau180,1.5091,1.31226,False,15.0,362,8,354,,False
oasis3_tau180,OASIS3 tau180,1.54847,1.31226,False,18.0,362,7,355,,False
oasis3_tau180,OASIS3 tau180,1.58784,1.31226,False,21.0,362,7,355,,False
oasis3_tau180,OASIS3 tau180,1.62721,1.31226,False,24.0,362,7,355,,False
oasis3_tau180,OASIS3 tau180,1.66657,1.31226,False,27.0,362,5,357,,False
oasis3_tau180,OASIS3 tau180,1.70594,1.31226,False,30.0,362,4,358,,False
oasis3_tau90,OASIS3 tau90,0.87848,1.25498,False,-30.0,139,138,1,,False
oasis3_tau90,OASIS3 tau90,0.91613,1.25498,False,-27.0,139,136,3,,False
oasis3_tau90,OASIS3 tau90,0.95378,1.25498,False,-24.0,139,132,7,,False
oasis3_tau90,OASIS3 tau90,0.99143,1.25498,False,-21.0,139,124,15,0.6267,True
oasis3_tau90,OASIS3 tau90,1.02908,1.25498,False,-18.0,139,115,24,0.6083,True
oasis3_tau90,OASIS3 tau90,1.06673,1.25498,False,-15.0,139,93,46,0.61,True
oasis3_tau90,OASIS3 tau90,1.10438,1.25498,False,-12.0,139,64,75,0.6257,True
oasis3_tau90,OASIS3 tau90,1.14203,1.25498,False,-9.0,139,36,103,0.6409,True
oasis3_tau90,OASIS3 tau90,1.17968,1.25498,False,-6.0,139,21,118,0.687,True
oasis3_tau90,OASIS3 tau90,1.21733,1.25498,False,-3.0,139,10,129,0.6622,True
oasis3_tau90,OASIS3 tau90,1.25498,1.25498,True,0.0,139,8,131,,False
oasis3_tau90,OASIS3 tau90,1.29262,1.25498,False,3.0,139,6,133,,False
oasis3_tau90,OASIS3 tau90,1.33027,1.25498,False,6.0,139,6,133,,False
oasis3_tau90,OASIS3 tau90,1.36792,1.25498,False,9.0,139,4,135,,False
oasis3_tau90,OASIS3 tau90,1.40557,1.25498,False,12.0,139,3,136,,False
oasis3_tau90,OASIS3 tau90,1.44322,1.25498,False,15.0,139,3,136,,False
oasis3_tau90,OASIS3 tau90,1.48087,1.25498,False,18.0,139,2,137,,False
oasis3_tau90,OASIS3 tau90,1.51852,1.25498,False,21.0,139,2,137,,False
oasis3_tau90,OASIS3 tau90,1.55617,1.25498,False,24.0,139,1,138,,False
oasis3_tau90,OASIS3 tau90,1.59382,1.25498,False,27.0,139,1,138,,False
oasis3_tau90,OASIS3 tau90,1.63147,1.25498,False,30.0,139,1,138,,False
